module,start,events,times
STAT20060,33:23.3,"['START', 'JOIN', 'JOIN', 'FINISH', 'TRANSFER']","[0, 0, 0, 3648, 3644]"
MATH10230,56:38.9,"['FINISH', 'START', 'JOIN']","[2508, 0, 0]"
STAT20060,56:46.0,"['START', 'JOIN', 'FINISH']","[0, 0, 5484]"
STAT20060,19:48.2,"['START', 'JOIN', 'FINISH']","[0, 0, 149]"
MATH10220,32:19.9,"['FINISH', 'START', 'JOIN']","[1115, 0, 0]"
MATH10350,34:17.5,"['START', 'JOIN', 'TRANSFER', 'FINISH']","[0, 0, 10709, 17251]"
MATH10260,59:57.3,"['START', 'JOIN', 'FINISH']","[0, 0, 93]"
STAT10060,04:14.5,"['START', 'JOIN', 'FINISH']","[0, 0, 3371]"
EEEN30150,06:21.8,"['FINISH', 'START', 'JOIN']","[341, 0, 0]"
AES5001R,11:40.9,"['TRANSFER', 'START', 'JOIN', 'FINISH']","[1381, 0, 0, 3011]"
STAT20060,33:33.8,"['FINISH', 'START', 'JOIN']","[224, 0, 0]"
MATH10240,37:57.8,"['START', 'JOIN', 'FINISH']","[0, 0, 3434]"
FR10090,46:56.0,"['FINISH', 'START', 'JOIN']","[100, 0, 0]"
STAT10060,52:00.9,"['START', 'JOIN', 'FINISH']","[0, 0, 1034]"
STAT20060,53:53.8,"['FINISH', 'START', 'JOIN', 'JOIN', 'TRANSFER']","[1125, 0, 0, 0, 988]"
MATH10350,00:53.2,"['START', 'JOIN', 'FINISH']","[0, 0, 1904]"
ANSC40090,10:54.8,"['START', 'JOIN', 'FINISH']","[0, 0, 725]"
STAT20060,15:15.9,"['START', 'JOIN', 'FINISH']","[0, 0, 690]"
STAT20060,23:19.7,"['START', 'JOIN', 'FINISH']","[0, 0, 1010]"
STAT20060,36:18.8,"['START', 'JOIN', 'FINISH']","[0, 0, 6278]"
CLIP40050,22:27.7,"['START', 'JOIN', 'FINISH']","[0, 0, 106]"
MATH10350,27:39.1,"['START', 'JOIN', 'FINISH']","[0, 0, 3208]"
STAT10060,41:35.5,"['START', 'JOIN', 'FINISH']","[0, 0, 2380]"
STAT20060,49:30.2,"['START', 'JOIN', 'FINISH']","[0, 0, 14]"
STAT20060,52:22.4,"['START', 'JOIN', 'JOIN', 'JOIN', 'FINISH']","[0, 0, 0, 0, 171]"
CLIP40050,31:42.7,"['START', 'JOIN', 'FINISH']","[0, 0, 35]"
STAT10060,12:11.3,"['START', 'JOIN', 'FINISH']","[0, 0, 334]"
MST10030,13:01.0,"['START', 'JOIN', 'TRANSFER', 'FINISH']","[0, 0, 309, 9467]"
STAT10060,21:44.1,"['START', 'JOIN', 'FINISH']","[0, 0, 837]"
MATH10350,26:32.9,"['START', 'JOIN', 'FINISH']","[0, 0, 8649]"
EEEN30150,44:32.8,"['START', 'JOIN', 'JOIN', 'TRANSFER', 'LEAVE', 'FINISH', 'TRANSFER']","[0, 0, 0, 2537, 2740, 7601, 7596]"
MIS20010,48:38.3,"['START', 'JOIN', 'FINISH']","[0, 0, 103]"
MST10030,53:14.3,"['START', 'JOIN', 'FINISH']","[0, 0, 7057]"
PHYC10210,32:00.2,"['START', 'JOIN', 'FINISH', 'TRANSFER']","[0, 0, 4741, 869]"
MATH20320,33:02.0,"['START', 'JOIN', 'FINISH']","[0, 0, 4674]"
MST10030,45:51.1,"['START', 'JOIN', 'FINISH']","[0, 0, 1436]"
STAT10060,29:49.5,"['FINISH', 'START', 'JOIN']","[461, 0, 0]"
MST10030,45:11.1,"['START', 'JOIN', 'JOIN', 'TRANSFER', 'FINISH', 'LEAVE']","[0, 0, 0, 4329, 4344, 4337]"
MATH10220,51:42.0,"['START', 'JOIN', 'FINISH', 'TRANSFER']","[0, 0, 3758, 3658]"
EEEN30150,58:00.0,"['START', 'JOIN', 'FINISH']","[0, 0, 6616]"
STAT10060,26:11.2,"['START', 'JOIN', 'FINISH']","[0, 0, 2650]"
STAT10060,32:30.2,"['START', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'TRANSFER', 'FINISH']","[0, 0, 0, 0, 0, 6199, 6652]"
MATH10260,33:14.8,"['START', 'JOIN', 'FINISH']","[0, 0, 711]"
STAT10060,57:42.3,"['FINISH', 'START', 'JOIN']","[9, 0, 0]"
EEEN30150,58:43.9,"['START', 'JOIN', 'FINISH']","[0, 0, 877]"
MATH10220,26:30.9,"['START', 'JOIN', 'FINISH']","[0, 0, 1300]"
VET10170,57:26.6,"['START', 'JOIN', 'FINISH']","[0, 0, 4641]"
EEEN30150,10:00.5,"['START', 'JOIN', 'FINISH']","[0, 0, 1073]"
MATH10350,22:19.8,"['START', 'JOIN', 'JOIN', 'FINISH']","[0, 0, 0, 1155]"
STAT10060,24:36.8,"['FINISH', 'START', 'JOIN']","[2180, 0, 0]"
ACM10060,42:44.1,"['FINISH', 'START', 'JOIN']","[1024, 0, 0]"
ADEDEX428,00:49.5,"['JOIN', 'JOIN', 'START', 'JOIN', 'JOIN', 'FINISH']","[1650, 1643, 0, 0, 1659, 3765]"
CVEN30060,01:11.0,"['START', 'JOIN', 'FINISH']","[0, 0, 64]"
MST10030,16:51.6,"['START', 'JOIN', 'FINISH']","[0, 0, 2196]"
MIS20040,17:58.7,"['START', 'JOIN', 'FINISH']","[0, 0, 3]"
MST10030,20:48.4,"['START', 'JOIN', 'TRANSFER', 'FINISH']","[0, 0, 1974, 1998]"
MATH10350,30:09.5,"['START', 'JOIN', 'FINISH']","[0, 0, 1136]"
ACM10060,39:00.5,"['START', 'JOIN', 'FINISH']","[0, 0, 590]"
ECON10030,54:14.6,"['START', 'JOIN', 'FINISH']","[0, 0, 38]"
ACM10060,05:18.5,"['START', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'FINISH']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39]"
EEEN30150,16:09.0,"['START', 'JOIN', 'FINISH']","[0, 0, 1324]"
MEEN20030,18:09.4,"['START', 'JOIN', 'FINISH']","[0, 0, 396]"
MATH10310,47:41.1,"['START', 'JOIN', 'TRANSFER', 'FINISH']","[0, 0, 2313, 2627]"
EEEN30150,00:35.2,"['START', 'JOIN', 'FINISH']","[0, 0, 703]"
MATH10350,12:29.7,"['START', 'JOIN', 'FINISH']","[0, 0, 2008]"
SCI10010,32:36.8,"['FINISH', 'START', 'JOIN']","[760, 0, 0]"
ACM10060,46:06.3,"['START', 'JOIN', 'FINISH']","[0, 0, 63]"
PHYC10210,47:22.1,"['FINISH', 'START', 'JOIN', 'TRANSFER']","[3446, 0, 0, 3442]"
FDSC40120,00:30.2,"['START', 'JOIN', 'FINISH']","[0, 0, 400]"
MATH10260,51:49.0,"['TRANSFER', 'START', 'JOIN', 'TRANSFER', 'FINISH']","[4134, 0, 0, 4029, 7321]"
PHYC10210,04:13.2,"['START', 'JOIN', 'TRANSFER', 'FINISH']","[0, 0, 67, 1127]"
MST20050,44:37.6,"['START', 'JOIN', 'FINISH']","[0, 0, 1354]"
