times,year,month,date,academic_year,semester,week,weekday,hour,events,subject,student_level,number_of_tutors,duration_s,duration_m
"[0, 177]",2015,2,16,2014/2015,2,3,1,16,"['START', 'FINISH']",MATH,1,4,177,2
"[0, 708]",2015,2,16,2014/2015,2,3,1,16,"['START', 'FINISH']",MATH,1,4,708,11
"[0, 543]",2015,2,16,2014/2015,2,3,1,16,"['START', 'FINISH']",MATH,1,4,543,9
"[0, 1085]",2015,2,16,2014/2015,2,3,1,16,"['START', 'FINISH']",MATH,1,4,1085,18
"[0, 0, 1240]",2015,2,17,2014/2015,2,3,2,10,"['START', 'JOIN', 'FINISH']",MST,1,4,1240,20
"[0, 0, 1971]",2015,2,17,2014/2015,2,3,2,10,"['START', 'JOIN', 'FINISH']",ECON,2,4,1971,32
"[0, 0, 1462]",2015,2,17,2014/2015,2,3,2,10,"['START', 'JOIN', 'FINISH']",MATH,1,4,1462,24
"[0, 0, 4836]",2015,2,17,2014/2015,2,3,2,11,"['START', 'JOIN', 'FINISH']",MATH,1,4,4836,80
"[0, 0, 2494]",2015,2,17,2014/2015,2,3,2,11,"['START', 'JOIN', 'FINISH']",MATH,1,4,2494,41
"[0, 0, 4097]",2015,2,17,2014/2015,2,3,2,11,"['START', 'JOIN', 'FINISH']",ACM,1,4,4097,68
"[0, 0, 1464]",2015,2,17,2014/2015,2,3,2,11,"['START', 'JOIN', 'FINISH']",MST,1,4,1464,24
"[0, 0, 3994, 5891]",2015,2,17,2014/2015,2,3,2,11,"['START', 'JOIN', 'TRANSFER', 'FINISH']",MATH,1,4,1897,31
"[0, 0, 630]",2015,2,17,2014/2015,2,3,2,12,"['START', 'JOIN', 'FINISH']",ACM,2,3,630,10
"[0, 0, 38]",2015,2,17,2014/2015,2,3,2,12,"['START', 'JOIN', 'FINISH']",ACM,1,3,38,0
"[0, 0, 1553]",2015,2,17,2014/2015,2,3,2,12,"['START', 'JOIN', 'FINISH']",POL,2,3,1553,25
"[0, 0, 1456, 1461]",2015,2,17,2014/2015,2,3,2,12,"['START', 'JOIN', 'TRANSFER', 'FINISH']",MATH,1,3,5,0
"[0, 0, 186]",2015,2,17,2014/2015,2,3,2,12,"['START', 'JOIN', 'FINISH']",POL,2,3,186,3
"[0, 0, 1752, 2158]",2015,2,17,2014/2015,2,3,2,12,"['START', 'JOIN', 'TRANSFER', 'FINISH']",MATH,1,3,406,6
"[0, 0, 986, 982]",2015,2,17,2014/2015,2,3,2,14,"['START', 'JOIN', 'FINISH', 'LEAVE']",MST,1,4,986,16
"[0, 0, 16]",2015,2,17,2014/2015,2,3,2,14,"['START', 'JOIN', 'FINISH']",MATH,1,4,16,0
"[0, 0, 2403, 22]",2015,2,17,2014/2015,2,3,2,14,"['START', 'JOIN', 'FINISH', 'JOIN']",STAT,1,4,2403,40
"[0, 0, 1676]",2015,2,17,2014/2015,2,3,2,16,"['START', 'JOIN', 'FINISH']",ACM,1,2,1676,27
"[0, 0]",2015,2,17,2014/2015,2,3,2,16,"['START', 'JOIN']",MEEN,2,2,0,0
"[1902, 0, 0, 0]",2015,2,18,2014/2015,2,3,3,10,"['FINISH', 'START', 'JOIN', 'JOIN']",MATH,2,2,1902,31
"[0, 0, 872]",2015,2,18,2014/2015,2,3,3,10,"['START', 'JOIN', 'FINISH']",MST,1,2,872,14
"[2704, 2716, 0, 0]",2015,2,18,2014/2015,2,3,3,10,"['TRANSFER', 'FINISH', 'START', 'JOIN']",MATH,2,2,12,0
"[0, 0, 4777]",2015,2,18,2014/2015,2,3,3,10,"['START', 'JOIN', 'FINISH']",ACM,1,2,4777,79
"[0, 0, 1534, 8208, 8218]",2015,2,18,2014/2015,2,3,3,11,"['START', 'JOIN', 'TRANSFER', 'TRANSFER', 'FINISH']",MATH,1,2,10,0
"[0, 0, 7778]",2015,2,18,2014/2015,2,3,3,11,"['START', 'JOIN', 'FINISH']",MATH,2,2,7778,129
"[0, 0, 1012]",2015,2,18,2014/2015,2,3,3,11,"['START', 'JOIN', 'FINISH']",ECON,1,2,1012,16
"[0, 0, 2613, 2625]",2015,2,18,2014/2015,2,3,3,12,"['START', 'JOIN', 'TRANSFER', 'FINISH']",MST,1,2,12,0
"[0, 0, 2384]",2015,2,18,2014/2015,2,3,3,12,"['START', 'JOIN', 'FINISH']",MATH,1,2,2384,39
"[0, 0, 1580]",2015,2,18,2014/2015,2,3,3,13,"['START', 'JOIN', 'FINISH']",ACM,1,1,1580,26
"[0, 0, 2803]",2015,2,18,2014/2015,2,3,3,13,"['START', 'JOIN', 'FINISH']",MATH,2,1,2803,46
"[0, 0, 2861, 3759]",2015,2,18,2014/2015,2,3,3,14,"['START', 'JOIN', 'TRANSFER', 'FINISH']",STAT,1,2,898,14
"[0, 0, 7279]",2015,2,18,2014/2015,2,3,3,15,"['START', 'JOIN', 'FINISH']",MATH,1,3,7279,121
"[0, 0, 1885, 6680, 6685]",2015,2,18,2014/2015,2,3,3,15,"['START', 'JOIN', 'TRANSFER', 'TRANSFER', 'FINISH']",STAT,1,3,5,0
"[0, 0, 2547]",2015,2,18,2014/2015,2,3,3,16,"['START', 'JOIN', 'FINISH']",MATH,1,3,2547,42
"[0, 0]",2015,2,18,2014/2015,2,3,3,16,"['START', 'JOIN']",ECON,1,3,0,0
