times,year,month,date,academic_year,semester,week,weekday,hour,events,subject,student_level,number_of_tutors
"[5928, 0, 0, 0, 0]",2015,2,19,2014/2015,2,3,4,14,"['FINISH', 'START', 'JOIN', 'JOIN', 'JOIN']",MIS,2,2
"[0, 3095, 0]",2015,2,19,2014/2015,2,3,4,15,"['JOIN', 'FINISH', 'START']",ACM,1,4
"[0, 0, 2343]",2015,2,19,2014/2015,2,3,4,15,"['START', 'JOIN', 'FINISH']",MST,1,4
"[0, 0, 583]",2015,2,19,2014/2015,2,3,4,15,"['START', 'JOIN', 'FINISH']",STAT,1,4
"[0, 0, 3648]",2015,2,19,2014/2015,2,3,4,15,"['START', 'JOIN', 'FINISH']",MST,1,4
"[0, 0, 3602]",2015,2,19,2014/2015,2,3,4,15,"['START', 'JOIN', 'FINISH']",MATH,1,4
"[0, 0, 3703]",2015,2,20,2014/2015,2,3,5,10,"['START', 'JOIN', 'FINISH']",MATH,1,2
"[0, 0, 3911]",2015,2,20,2014/2015,2,3,5,10,"['START', 'JOIN', 'FINISH']",STAT,2,2
"[0, 0, 3460]",2015,2,20,2014/2015,2,3,5,12,"['START', 'JOIN', 'FINISH']",MATH,2,2
"[0, 0, 0, 2313]",2015,2,20,2014/2015,2,3,5,12,"['START', 'JOIN', 'JOIN', 'FINISH']",MST,1,2
"[0, 0, 1069]",2015,2,20,2014/2015,2,3,5,12,"['START', 'JOIN', 'FINISH']",ACM,1,2
"[0, 0, 0, 352]",2015,2,20,2014/2015,2,3,5,13,"['START', 'JOIN', 'JOIN', 'FINISH']",MATH,1,1
"[0, 0, 3867]",2015,2,23,2014/2015,2,4,1,10,"['START', 'JOIN', 'FINISH']",MST,1,3
"[0, 0, 3592]",2015,2,23,2014/2015,2,4,1,10,"['START', 'JOIN', 'FINISH']",MATH,1,3
"[0, 0, 747]",2015,2,23,2014/2015,2,4,1,10,"['START', 'JOIN', 'FINISH']",ACM,1,3
"[0, 0, 1299]",2015,2,23,2014/2015,2,4,1,10,"['START', 'JOIN', 'FINISH']",ECON,1,3
"[0, 0, 1866]",2015,2,23,2014/2015,2,4,1,10,"['START', 'JOIN', 'FINISH']",MATH,1,3
"[0, 0, 0, 3796]",2015,2,23,2014/2015,2,4,1,10,"['START', 'JOIN', 'JOIN', 'FINISH']",MATH,1,3
"[0, 0, 4242]",2015,2,23,2014/2015,2,4,1,11,"['START', 'JOIN', 'FINISH']",MATH,1,3
"[0, 0, 944]",2015,2,23,2014/2015,2,4,1,11,"['START', 'JOIN', 'FINISH']",ACM,1,3
"[0, 0, 1745]",2015,2,23,2014/2015,2,4,1,11,"['START', 'JOIN', 'FINISH']",ACM,1,3
"[0, 0, 466, 1767]",2015,2,23,2014/2015,2,4,1,11,"['START', 'JOIN', 'TRANSFER', 'FINISH']",STAT,1,3
"[0, 0, 109]",2015,2,23,2014/2015,2,4,1,12,"['START', 'JOIN', 'FINISH']",STAT,1,3
"[0, 0, 1828]",2015,2,23,2014/2015,2,4,1,13,"['START', 'JOIN', 'FINISH']",MST,1,1
"[0, 0, 0, 2144]",2015,2,23,2014/2015,2,4,1,14,"['START', 'JOIN', 'JOIN', 'FINISH']",MATH,1,3
"[0, 0, 0, 0, 1359]",2015,2,23,2014/2015,2,4,1,14,"['START', 'JOIN', 'JOIN', 'JOIN', 'FINISH']",ACM,1,3
"[0, 0, 1166]",2015,2,23,2014/2015,2,4,1,14,"['START', 'JOIN', 'FINISH']",STAT,2,3
"[0, 0, 639, 655, 699]",2015,2,23,2014/2015,2,4,1,14,"['START', 'JOIN', 'LEAVE', 'JOIN', 'FINISH']",STAT,1,3
"[0, 0, 741]",2015,2,23,2014/2015,2,4,1,15,"['START', 'JOIN', 'FINISH']",MST,1,4
"[0, 0, 2157]",2015,2,23,2014/2015,2,4,1,15,"['START', 'JOIN', 'FINISH']",MST,1,4
"[0, 0, 0, 0, 0, 0, 815]",2015,2,23,2014/2015,2,4,1,15,"['START', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'FINISH']",ACM,1,4
"[0, 0, 119]",2015,2,23,2014/2015,2,4,1,16,"['START', 'JOIN', 'FINISH']",MATH,1,4
"[0, 0, 0, 127]",2015,2,23,2014/2015,2,4,1,16,"['START', 'JOIN', 'JOIN', 'FINISH']",ACM,1,4
"[0, 0, 60]",2015,2,23,2014/2015,2,4,1,16,"['START', 'JOIN', 'FINISH']",MST,1,4
"[0, 0, 3029, 3036]",2015,2,24,2014/2015,2,4,2,10,"['START', 'JOIN', 'TRANSFER', 'FINISH']",MATH,2,4
